speciesAbbr	speciesSCI	speciesFI	speciesSV	speciesEN	visibility
CAPEUR	Caprimulgus europaeus	Kehrääjä	Nattskärra	Nightjar	1
APUAPU	Apus apus	Tervapääsky	Tornseglare	Swift	1
ALCATT	Alcedo atthis	Kuningaskalastaja	Kungsfiskare	Kingfisher	1
JYNTOR	Jynx torquilla	Käenpiika	Göktyta	Wryneck	1
PICCAN	Picus canus	Harmaapäätikka	Gråspett	Grey-headed Woodpecker	1
DRYMAR	Dryocopus martius	Palokärki	Spillkråka	Black Woodpecker	1
DENMAJ	Dendrocopos major	Käpytikka	Större hackspett	Great Spotted Woodpecker	1
DENLEU	Dendrocopos leucotos	Valkoselkätikka	Vitryggig hackspett	White-backed Woodpecker	1
DENMIN	Dendrocopos minor	Pikkutikka	Mindre hackspett	Lesser Spotted Woodpecker	1
PICTRI	Picoides tridactylus	Pohjantikka	Tretåig hackspett	Three-toed Woodpecker	1
LULARB	Lullula arborea	Kangaskiuru	Trädlärka	Woodlark	1
ALAARV	Alauda arvensis	Kiuru	Sånglärka	Skylark	1
EREALP	Eremophila alpestris	Tunturikiuru	Berglärka	Shore Lark	1
RIPRIP	Riparia riparia	Törmäpääsky	Backsvala	Sand Martin	1
HIRRUS	Hirundo rustica	Haarapääsky	Ladusvala	Swallow	1
DELURB	Delichon urbicum	Räystäspääsky	Hussvala	House Martin	1
ANTCAM	Anthus campestris	Nummikirvinen	Fältpiplärka	Tawny Pipit	1
ANTTRI	Anthus trivialis	Metsäkirvinen	Trädpiplärka	Tree Pipit	1
ANTPRA	Anthus pratensis	Niittykirvinen	Ängspiplärka	Meadow Pipit	1
ANTCER	Anthus cervinus	Lapinkirvinen	Rödstrupig piplärka	Red-throated Pipit	1
ANTPET	Anthus petrosus	Luotokirvinen	Skärpiplärka	Water Pipit	1
MOTFLA	Motacilla flava	Keltavästäräkki	Gulärla	Yellow Wagtail	1
MOTCIT	Motacilla citreola	Sitruunavästäräkki	Citronärla	Citrine Wagtail	1
MOTCIN	Motacilla cinerea	Virtavästäräkki	Forsärla	Grey Wagtail	1
MOTALB	Motacilla alba	Västäräkki	Sädesärla	White Wagtail	1
BOMGAR	Bombycilla garrulus	Tilhi	Sidensvans	Waxwing	1
CINCIN	Cinclus cinclus	Koskikara	Strömstare	Dipper	1
TROTRO	Troglodytes troglodytes	Peukaloinen	Gärdsmyg	Wren	1
PRUMOD	Prunella modularis	Rautiainen	Järnsparv	Dunnock	1
ERIRUB	Erithacus rubecula	Punarinta	Rödhake	Robin	1
LUSLUS	Luscinia luscinia	Satakieli	Näktergal	Thrush Nightingale	1
LUSSVE	Luscinia svecica	Sinirinta	Blåhake	Bluethroat	1
TARCYA	Luscinia cyanura	Sinipyrstö	Blåstjärt	Red-flanked Bluetail	1
PHOOCH	Phoenicurus ochruros	Mustaleppälintu	Svart rödstjärt	Black Redstart	1
PHOPHO	Phoenicurus phoenicurus	Leppälintu	Rödstjärt	Redstart	1
SAXRUB	Saxicola rubetra	Pensastasku	Buskskvätta	Whinchat	1
SAXTOR	Saxicola torquatus	Mustapäätasku	Svarthakad buskskvätta	Stonechat	1
OENOEN	Oenanthe oenanthe	Kivitasku	Stenskvätta	Wheatear	1
TURTOR	Turdus torquatus	Sepelrastas	Ringtrast	Ring Ouzel	1
TURMER	Turdus merula	Mustarastas	Koltrast	Blackbird	1
TURPIL	Turdus pilaris	Räkättirastas	Björktrast	Fieldfare	1
TURPHI	Turdus philomelos	Laulurastas	Taltrast	Song Thrush	1
TURILI	Turdus iliacus	Punakylkirastas	Rödvingetrast	Redwing	1
TURVIS	Turdus viscivorus	Kulorastas	Dubbeltrast	Mistle Thrush	1
LOCNAE	Locustella naevia	Pensassirkkalintu	Gräshoppsångare	Grasshopper Warbler	1
LOCFLU	Locustella fluviatilis	Viitasirkkalintu	Flodsångare	River Warbler	1
LOCLUS	Locustella luscinioides	Ruokosirkkalintu	Vassångare	Savi's Warbler	1
ACRSCH	Acrocephalus schoenobaenus	Ruokokerttunen	Sävsångare	Sedge Warbler	1
ACRSCI	Acrocephalus scirpaceus	Rytikerttunen	Rörsångare	Reed Warbler	1
ACRRIS	Acrocephalus palustris	Luhtakerttunen	Kärrsångare	Marsh Warbler	1
ACRDUM	Acrocephalus dumetorum	Viitakerttunen	Busksångare	Blyth's Reed Warbler	1
ACRARU	Acrocephalus arundinaceus	Rastaskerttunen	Trastsångare	Great Reed Warbler	1
HIPICT	Hippolais icterina	Kultarinta	Härmsångare	Icterine Warbler	1
SYLATR	Sylvia atricapilla	Mustapääkerttu	Svarthätta	Blackcap	1
SYLBOR	Sylvia borin	Lehtokerttu	Trädgårdssångare	Garden Warbler	1
SYLNIS	Sylvia nisoria	Kirjokerttu	Höksångare	Barred Warbler	1
SYLCUR	Sylvia curruca	Hernekerttu	Ärtsångare	Lesser Whitethroat	1
SYLCOM	Sylvia communis	Pensaskerttu	Törnsångare	Whitethroat	1
PHYDES	Phylloscopus trochiloides	Idänuunilintu	Lundsångare	Greenish Warbler	1
PHYBOR	Phylloscopus borealis	Lapinuunilintu	Nordsångare	Arctic Warbler	1
PHYSIB	Phylloscopus sibilatrix	Sirittäjä	Grönsångare	Wood Warbler	1
PHYCOL	Phylloscopus collybita	Tiltaltti	Gransångare	Chiffchaff	1
PHYLUS	Phylloscopus trochilus	Pajulintu	Lövsångare	Willow Warbler	1
REGREG	Regulus regulus	Hippiäinen	Kungsfågel	Goldcrest	1
MUSSTR	Muscicapa striata	Harmaasieppo	Grå flugsnappare	Spotted Flycatcher	1
FICPAR	Ficedula parva	Pikkusieppo	Mindre flugsnappare	Red-breasted Flycatcher	1
FICHYP	Ficedula hypoleuca	Kirjosieppo	Svartvit flugsnappare	Pied Flycatcher	1
PANBIA	Panurus biarmicus	Viiksitimali	Skäggmes	Bearded Tit	1
AEGCAU	Aegithalos caudatus	Pyrstötiainen	Stjärtmes	Long-tailed Tit	1
PARMON	Parus montanus	Hömötiainen	Talltita	Willow Tit	1
PARCIN	Parus cinctus	Lapintiainen	Lappmes	Siberian Tit	1
PARCRI	Parus cristatus	Töyhtötiainen	Tofsmes	Crested Tit	1
PARATE	Parus ater	Kuusitiainen	Svartmes	Coal Tit	1
PARCAE	Parus caeruleus	Sinitiainen	Blåmes	Blue Tit	1
PARCYA	Parus cyanus	Valkopäätiainen	Azurmes	Azure Tit	1
PARMAJ	Parus major	Talitiainen	Talgoxe	Great Tit	1
SITEUR	Sitta europaea	Pähkinänakkeli	Nötväcka	Nuthatch	1
CERFAM	Certhia familiaris	Puukiipijä	Trädkrypare	Treecreeper	1
REMPEN	Remiz pendulinus	Pussitiainen	Pungmes	Penduline Tit	1
ORIORI	Oriolus oriolus	Kuhankeittäjä	Sommargylling	Golden Oriole	1
LANCOL	Lanius collurio	Pikkulepinkäinen	Törnskata	Red-backed Shrike	1
LANEXC	Lanius excubitor	Isolepinkäinen	Varfågel	Great Grey Shrike	1
GARGLA	Garrulus glandarius	Närhi	Nötskrika	Jay	1
PERINF	Perisoreus infaustus	Kuukkeli	Lavskrika	Siberian Jay	1
PICPIC	Pica pica	Harakka	Skata	Magpie	1
NUCCAR	Nucifraga caryocatactes	Pähkinähakki	Nötkråka	Nutcracker	1
CORMON	Corvus monedula	Naakka	Kaja	Jackdaw	1
CORFRU	Corvus frugilegus	Mustavaris	Råka	Rook	1
CORNIX	Corvus corone cornix	Varis	Kråka	Hooded Crow	1
CORRAX	Corvus corax	Korppi	Korp	Raven	1
STUVUL	Sturnus vulgaris	Kottarainen	Stare	Starling	1
PASDOM	Passer domesticus	Varpunen	Gråsparv	House Sparrow	1
PASMON	Passer montanus	Pikkuvarpunen	Pilfink	Tree Sparrow	1
FRICOE	Fringilla coelebs	Peippo	Bofink	Chaffinch	1
FRIMON	Fringilla montifringilla	Järripeippo	Bergfink	Brambling	1
SERSER	Serinus serinus	Keltahemppo	Gulhämpling	Serin	1
